Study,Sample,Sample_Type,DPN,Sample_Vol,InteritE_DNA,IntegritE_Cq,IntegritE_Total,IntegritE_Copies,IntegritE_SE,I6S_DNA,I6S_Cq,I6S_Total,I6S_Copies,I6S_SE,NosZI_DNA,NosZI_Cq,NosZI_Total,NosZI_Copies,NosZI_SE,NosZII_DNA,NosZII_Total,NosZII_Copies,NosZII_SE,Notes
BIOS2020,D2,gDNA,7,,"295,679.96",17.91,,,,"885,928.51",17.69,,,,"9,906.10",20.92,,,,"124,046.23",,,,
BIOS2020,D2,gDNA,7,,"305,791.60",17.86,,,,"636,325.34",18.19,,,,"8,502.37",21.15,,,,"126,977.90",,,,
BIOS2020,D2,gDNA,7,,,,,,,"897,733.55",17.67,,,,"10,240.70",20.87,,,,"126,977.90",,,,
BIOS2020,D2,gDNA,7,,,,,,,"829,191.39",17.79,,,,"10,377.68",20.85,,,,"133,050.73",,,,
BIOS2020,D2,gDNA,7,,,,,,,"903,694.93",17.66,,,,"9,906.10",20.92,,,,"121,182.25",,,,
BIOS2020,D2,gDNA,7,,,,,,,"731,208.77",17.98,,,,"9,775.35",20.94,,,,"108,455.69",,,,
PCS2019,106,gDNA,8,0.7,"742,954.28",16.54,36011468,51570197,6067,"3,395,468.33",15.66,150549330,215594057,11725765,"69,391.53",17.99,3149340,4510009,107586,"515,705.45",25971605,37192617,1425471,
PCS2019,106,gDNA,8,,"671,662.53",16.69,,,,"2,657,952.92",16.03,,,,"61,162.48",18.18,,,,"515,705.45",,,,
PCS2019,106,gDNA,8,,"794,638.13",16.44,,,,"2,554,470.83",16.09,,,,"60,757.48",18.19,,,,"540,369.52",,,,
PCS2019,106,gDNA,8,,"671,662.53",16.69,,,,"2,693,370.27",16.01,,,,"56,852.08",18.29,,,,"461,546.08",,,,
PCS2019,106,gDNA,8,,,,,,,"3,901,771.72",15.45,,,,"67,124.30",18.04,,,,"618,047.80",,,,
PCS2019,106,gDNA,8,,,,,,,"3,199,117.42",15.75,,,,"62,809.66",18.14,,,,"572,864.94",,,,
PCS2019,106,gDNA,8,,,,,,,"2,974,485.80",15.86,,,,"66,238.29",18.06,,,,"466,968.24",,,,
PCS2019,106,gDNA,8,,,,,,,"2,711,255.53",16,,,,"59,558.50",18.22,,,,"464,249.24",,,,
BIOS2020,D5,gDNA,9,0.41,"552,649.66",16.98,27415114,66252089,3425,"1,426,772.40",16.97,67110375,162180703,4322278,"16,089.12",20.19,854168,2064204,84552,"237,189.31",11876367,28700741,577638,
BIOS2020,D5,gDNA,9,,"567,718.22",16.94,,,,"1,436,246.85",16.96,,,,"20,572.63",19.82,,,,"233,070.17",,,,
BIOS2020,D5,gDNA,9,,"520,191.59",17.07,,,,"1,335,398.27",17.07,,,,"17,657.41",20.05,,,,"244,216.95",,,,
